epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,89.8802,0.56786,0.95729,1.1385,0.65018,0.5,0.62043,0.4767,1.06091,2.87407,1.61032,0.001307,0.001307,0.001307
44,91.9165,0.60647,0.89146,1.18787,0.65018,0.5,0.62043,0.4767,1.06091,2.87407,1.61032,0.0012905,0.0012905,0.0012905
45,93.9453,0.56633,0.95101,1.13072,0.65018,0.5,0.62043,0.4767,1.06091,2.87407,1.61032,0.001274,0.001274,0.001274
46,96.0804,0.56763,0.97523,1.19925,0.99983,0.75,0.74543,0.6459,0.88667,1.94804,1.60957,0.0012575,0.0012575,0.0012575
47,98.1514,0.58837,1.0518,1.19334,0.99983,0.75,0.74543,0.6459,0.88667,1.94804,1.60957,0.001241,0.001241,0.001241
48,100.198,0.56546,1.00523,1.12574,0.99983,0.75,0.74543,0.6459,0.88667,1.94804,1.60957,0.0012245,0.0012245,0.0012245
49,102.281,0.53192,0.92828,1.12891,0.99983,0.75,0.74543,0.6459,0.88667,1.94804,1.60957,0.001208,0.001208,0.001208
50,104.366,0.56153,0.95972,1.22124,0.7266,0.75,0.68293,0.53965,0.99954,1.90907,1.89711,0.0011915,0.0011915,0.0011915
51,106.415,0.58302,1.0021,1.15851,0.7266,0.75,0.68293,0.53965,0.99954,1.90907,1.89711,0.001175,0.001175,0.001175
52,108.462,0.60818,0.91933,1.1264,0.7266,0.75,0.68293,0.53965,0.99954,1.90907,1.89711,0.0011585,0.0011585,0.0011585
53,110.493,0.58372,0.98241,1.15764,0.7266,0.75,0.68293,0.53965,0.99954,1.90907,1.89711,0.001142,0.001142,0.001142
54,112.629,0.55383,0.98655,1.24832,0.95953,0.75,0.74543,0.59635,1.00783,1.63741,1.89857,0.0011255,0.0011255,0.0011255
55,114.681,0.54659,0.89649,1.09889,0.95953,0.75,0.74543,0.59635,1.00783,1.63741,1.89857,0.001109,0.001109,0.001109
56,116.712,0.52666,0.79979,1.10492,0.95953,0.75,0.74543,0.59635,1.00783,1.63741,1.89857,0.0010925,0.0010925,0.0010925
